Date,Strike price,Close,Expiration
2018-07-18,10700,370.75,43
2018-07-19,10700,371.75,42
2018-07-20,10700,408.4,41
2018-07-23,10700,463.2,38
2018-07-24,10700,496.85,37
2018-07-25,10700,489.65,36
2018-07-26,10700,518.95,35
2018-07-27,10700,619.5,34
2018-07-30,10700,648.15,31
2018-07-31,10700,678.6,30
2018-08-01,10700,684.95,29
2018-08-02,10700,594.4,28
2018-08-03,10700,697.55,27
2018-08-06,10700,711.65,24
2018-08-07,10700,720.4,23
2018-08-08,10700,769.5,22
2018-08-09,10700,783.0,21
2018-08-10,10700,734.25,20
2018-08-13,10700,678.35,17
2018-08-14,10700,760.85,16
2018-08-16,10700,708.65,14
2018-08-17,10700,781.7,13
2018-08-20,10700,871.15,10
2018-08-21,10700,881.75,9
2018-08-23,10700,889.4,7
2018-08-24,10700,863.95,6
2018-08-27,10700,997.0,3
2018-08-28,10700,1045.5,2
2018-08-29,10700,997.55,1
2018-08-30,10700,970.0,0
2018-07-18,10750,394.0,43
2018-07-20,10750,371.5,41
2018-07-23,10750,388.85,38
2018-07-25,10750,429.25,36
2018-07-26,10750,482.8,35
2018-07-27,10750,573.55,34
2018-07-30,10750,598.7,31
2018-07-31,10750,631.55,30
2018-08-01,10750,653.3,29
2018-08-02,10750,564.95,28
2018-08-07,10750,654.65,23
2018-08-08,10750,719.55,22
2018-08-09,10750,745.2,21
2018-08-10,10750,704.65,20
2018-08-16,10750,645.0,14
2018-08-21,10750,813.5,9
2018-08-24,10750,800.0,6
2018-08-28,10750,992.05,2
2018-08-29,10750,961.25,1
2018-08-30,10750,915.95,0
2018-07-17,10800,325.85,44
2018-07-18,10800,302.1,43
2018-07-19,10800,292.8,42
2018-07-20,10800,332.05,41
2018-07-23,10800,381.3,38
2018-07-24,10800,412.35,37
2018-07-25,10800,399.05,36
2018-07-26,10800,438.7,35
2018-07-27,10800,533.6,34
2018-07-30,10800,557.55,31
2018-07-31,10800,588.95,30
2018-08-01,10800,579.75,29
2018-08-02,10800,499.75,28
2018-08-03,10800,604.6,27
2018-08-06,10800,622.35,24
2018-08-07,10800,624.0,23
2018-08-08,10800,672.9,22
2018-08-09,10800,686.55,21
2018-08-10,10800,636.25,20
2018-08-13,10800,585.45,17
2018-08-14,10800,657.95,16
2018-08-16,10800,613.7,14
2018-08-17,10800,683.45,13
2018-08-20,10800,773.25,10
2018-08-21,10800,781.95,9
2018-08-23,10800,786.4,7
2018-08-24,10800,767.25,6
2018-08-27,10800,899.0,3
2018-08-28,10800,947.4,2
2018-08-29,10800,903.8,1
2018-08-30,10800,872.0,0
2018-07-17,10850,232.5,44
2018-07-18,10850,313.95,43
2018-07-19,10850,264.95,42
2018-07-23,10850,305.35,38
2018-07-24,10850,360.0,37
2018-07-25,10850,380.0,36
2018-07-26,10850,388.95,35
2018-07-27,10850,485.4,34
2018-07-30,10850,490.65,31
2018-07-31,10850,557.75,30
2018-08-01,10850,560.0,29
2018-08-02,10850,474.9,28
2018-08-03,10850,552.5,27
2018-08-07,10850,551.2,23
2018-08-08,10850,571.05,22
2018-08-13,10850,530.0,17
2018-08-16,10850,558.0,14
2018-08-21,10850,715.85,9
2018-08-24,10850,716.0,6
2018-08-27,10850,800.0,3
2018-08-29,10850,850.85,1
2018-08-30,10850,819.0,0
2018-07-17,10900,256.1,44
2018-07-18,10900,237.35,43
2018-07-19,10900,230.25,42
2018-07-20,10900,261.65,41
2018-07-23,10900,306.0,38
2018-07-24,10900,334.25,37
2018-07-25,10900,325.65,36
2018-07-26,10900,350.2,35
2018-07-27,10900,443.05,34
2018-07-30,10900,469.15,31
2018-07-31,10900,497.15,30
2018-08-01,10900,501.6,29
2018-08-02,10900,413.2,28
2018-08-03,10900,509.65,27
2018-08-06,10900,520.65,24
2018-08-07,10900,527.65,23
2018-08-08,10900,575.25,22
2018-08-09,10900,592.8,21
